screen_name,text,source,favorite_count,retweet_count,verified,followers_count
waltmossberg,it is true that likely overpriced the latest iphones in a mature market especially in china and that it therefore overestimated revenues and earnings but people please remember that the shortfall meant they took in only billion in days instead of billion ,Twitter for iPad,786,160,True,876678
waltmossberg, yes it is ,Twitter for iPad,3,0,True,876678
waltmossberg, as i have said many times here with regard to multiple companies market cap is a terrible measure of a company performance or even value why because stocks are bought and sold for many reasons having nothing to do with a company products or profits ,Twitter for iPad,3,0,True,876678
waltmossberg,i am not saying that does not have problems and challenges it does i am just saying that some perspective is in order the mac alone if it were a separate company would be on the fortune and it has a fraction of iphone sales and a fraction of the attention ,Twitter for iPad,378,53,True,876678
digiphile, nor i saw it go by and then tracked it down to here to confirm ,Twitter for iPhone,0,0,True,241278
digiphile,so has now disabled group and unexpectedly put out a release urging new yorkers to disable it until it is fixed explained how is both weirder more mundane than i expected back in ,Twitter for iPhone,138,78,True,241278
digiphile,i wish tweeted the statement they have to media they identified a fix for the problem and will release it in a software update later this week ,Twitter for iPhone,2,1,True,241278
digiphile,any word on a time to fix ,Twitter for iPhone,5,0,True,241278
digiphile, i used to be on it back when they wanted my opinion and endorsement on bills but no longer ,Twitter for iPhone,0,0,True,241278
DavidCayJ, is biggest welfare taker of all time with billion tax favor lawmakers gave they gave apple a discount on taxes not paid since then added an year loaned apple billion at zero interest you pay for this welfare ,Twitter for iPhone,73,41,True,128837
DavidCayJ, eye popping profits on services cents per are times bigbiz average data shows indicates apple tying iphone imac itunes etc violates anti tying laws at minimum it is price gouging aka tim cook putting his thumb in customers eyes ,Twitter for iPhone,62,48,True,128837
DavidCayJ, gross net is of revenue depending on year but look at profit from trump gop tax deal ,Twitter for iPhone,0,0,True,128837
DavidCayJ, outrageous gross profit margins reported by are juiced by deceptive trade in policies slow to never fixed software awful customer service many other exploitive policies ,Twitter for iPhone,25,15,True,128837
moosefuel,on march th there was a at hq to protest the cancellation of the beloved handheld computer people who had one loved it that much ,Twitter Web Client,0,0,False,195
davidtroup, at least on ios there are rules regulations and a enforcement organization on android it is the wild wild west and you have to assume that facebook is doing this on that platform as well albeit with consenting participants,Twitter for iPhone,0,0,False,207
shahedC,come on there no need to call someone a nongamer just because they do not fit your definition of gamer and right in the app store on the first screen when you open it today what will the community have to say about this ,Twitter for iPhone,0,0,False,2292
shahedC,hey why does my iphone like to autocorrect thanos to thanks whose side are you on ,Twitter for iPhone,0,0,False,2292
shahedC, they only have promoted posts via what a wasted chance to connect with real users ,Twitter for iPhone,1,0,False,2292
shahedC,i wonder of ever reads his mentions especially on especially during maybe should start using their twitter account to make announcements and address issues ,Twitter for iPhone,1,0,False,2292
shahedC, my twitter feed right now lol ,Twitter for iPhone,0,0,False,2292
e_mendz,imho with m iphone users can afford to open up radio with more apple music content for free with ads and limits like spotify does with and merger in the air apple may need to be more aggressive and competitive right ,Twitter Web Client,0,0,False,114
e_mendz,with oled on its most expensive phones must offer its customers the option to save battery power and therefore save on energy costs via system wide ios dark mode not long ago in so it is a race to the dark mode already ,Twitter Web Client,0,0,False,114
ttss765,all te more reasons to ditch your iphone ,Twitter Web App,0,0,False,3
SidsPubs,hey i was ridiculed by my friends today because i use underwater headphones for my fitness regime why do not you or have waterproof headphone i can use instead ,Twitter for iPhone,0,0,False,4311
RogerKay,well made the better argument but with playing puppetmaster in the background the outcome of ftc v qualcomm is still up in the air until judge lucy koh rules ,Twitter Web Client,0,0,False,1960
kerrygilbert21, please please please allow us to switch off siri from apple watch on the digital crown so annoying that it always comes on while working out doing planks or push ups it always comes on st world problems i know but it is super frustrating ,Twitter for iPhone,0,0,False,24
kerrygilbert21, just wondering if on the apple watch series when you track a bod workout it is says the date in french is it supposed to do this or have i somehow managed to set this up without realising ,Twitter for iPhone,0,0,False,24
409cope,new from enter to a gift card from ,Twitter Web Client,0,0,False,1616
409cope,new from enter to a gift card from ,Twitter Web Client,0,0,False,1616
409cope,new from enter to a gift card from ,Twitter Web Client,0,0,False,1616
409cope,new from enter to a gift card from ,Twitter Web Client,0,0,False,1616
_DaCon,i am certainly not an fanboy but yeah promt reaction one would hope for fb is so very much kaputt ,Twitter for Android,0,0,False,493
jaywalkn,and does not say anything ,Tweetbot for iΟS,0,0,False,753
JeffBoulton,once again why are you sending me ads in french ,Twitter for iPhone,0,0,False,2207
aQUEENlikeshe,so broke group ft because of the upgrade ,Twitter for iPhone,0,0,False,926
real_sarmento, i have been a loyal apple customer since iphone s owner of iphone s plus and not planning to upgrade until evolutionary iphone is out vs versions with incremental enhancements pricing above is ridiculous not buying even though i can afford ,Twitter for iPad,0,0,False,0
sibinmohan,wow seems pissed at right now have revoked their enterprise development certificate seems to be getting slimier by the day first they were making money off kids mistakes and now this ,Twitter for iPhone,0,0,False,506
realkylehelms, not even close ,Tweetbot for iΟS,0,0,False,62
LabradorSavoie, phones should be to empower people and make them happy not to be a contest and sell them at a high cost phones are essential in everyday lives for work personal and etc,Twitter Web Client,0,0,False,84
andyrementer,my artwork is up in select stores worldwide representing ,Twitter for iPhone,6,0,False,5331
suxtobestu, just an elaborate apple marketing campaign that never actually happened then,Twitter for Android,0,0,False,72
shaz13i, it better be a perfect product and you guys do not bump your financial pressure on this iphone we all miss execution,Twitter for iPhone,1,0,False,179
